main1,#dddddd,速報
main,#ddeedd,広場
main2,aquamarine,速報２
news,#ffffff,ニュース
news_,#ffffff,思想政治
mil,#ffffff,軍事
kab,#ffffff,株式
busi,#ffffff,ビジネス
koyou,#ffffff,雇用就職
kokuhatu,#ffffff,内部告発
geinou,#ffffff,芸能
jani,#ffffff,ジャニーズ
janijr,#ffffff,Jr
idol,#ffffff,アイドル
dorama,#ffffff,ドラマ
warai,#ffffff,お笑い
TV,#ffffff,テレビ
radi,#ffffff,ラジオ
newsp,#ffffff,新聞
maga,#ffffff,雑誌
eiga,#ffffff,映画
engeki,#ffffff,演劇
clsc,#ffffff,クラシック
ongaku,#ffffff,邦楽
hougaku2,#ffffff,邦楽2
music,#ffffff,洋楽
yogaku80,#cc99ff,洋楽80's
jazz,#ffffff,JAZZ
visual,#ffffff,ヴィジュアル
tech,#ffffff,ハウス・テクノ
gakki,#ffffff,楽器
manga,#ffffff,漫画
mangal,#ffffff,漫画L
s-manga,#ffffff,少女漫画
dora,#ffffff,ドラえもん
kotikame,#ffffff,こち亀
anime,#ffffff,アニメ
shaa,#ff9999,シャア専用
nel,#990000,ネルフ
game,#ffffff,ゲーム
play,#ffffff,プレステ
body,#ffffff,人体
biyou,#ffffff,美容
fasyo,#ffffff,ファッション
tuhan,#ffffff,通信販売
housewife,#ffffff,主婦
syoku,#ffffff,食事
sake,#ffffff,酒
cv,#ffffff,コンビニ
jin,#ffffff,人生相談
ai,#ffffff,恋愛
zange,#ffffff,懺悔
tyuu,#ffffff,BL
sport,#ffffff,スポーツ
baseball,#ffffff,野球
football,#ffffff,サッカー
fight,#ffffff,プロレス・格闘技
dai,#ffffff,大学生
hs,#ffffff,中高生
gaku,#fffff8!icho.gif,学歴
igaku,#ffffff,医学
lang,#ffffff,語学
keizai,#ffffff,経済
law,#ffffff,法律
cosmos,#ffffff,自然科学
sophia,tan,哲学
bun,#ffffff,文学
rekisi,#ffffff,歴史
religion,#ffffff,宗教学
quiz,#ffffff,クイズ
book,#ffffff,本
art,#ffffff,芸術
toukei,#ffffff,統計
kuuki,#99ccff,空気
gamble,#ffffff,ギャンブル
mystery,#ffffff,超常現象
tabi,#ffffff,旅行
animals,#ffffff,動物
came,#ffffff,カメラ
turi,#ffffff,釣り
engei,#ffffff,園芸
hobby,#ffffff,ホビー
CG,#ffffff,CG
MIDI,#ffffff,MIDI
car,#ffffff,車
bik,#ffffff,オートバイ
train,#ffffff,鉄道
air,#ffffff,飛行機
hokka,#ffffff,北海道
touho,#ffffff,東北
hokusin,#ffffff,北信越
tokio,#ffffff,東京
kanto,#ffffff,関東
tyuubu,#ffffff,中部
osaka,#ffffff,大阪
kinki,#ffffff,近畿
tyuugo,#ffffff,中国地方
sikoku,#ffffff,四国
kyuusyuu,#ffffff,九州
kaiga,#ffffff,海外
.world2,#004040,<center><img src="bat2.gif" alt="わーるど２" style="position:absolute;width:150px;height:150px" id="flying"></center><object id="pathPoly4" classid="CLSID:D7A7D7C3-D47F-11D0-89D3-00A0C90833E6" style="position:absolute;visible:hidden;top:0;left:0"><param name="Target" value="flying""><param name="AutoStart" value="1"><param name="Repeat" value="-1"><param name="Bounce" VALUE="1"><param name="Duration" value="20"><param name="Shape" value="Oval(0#c#0#c#400#c#800)"></object>
chabu,#ffffcc!back0005.gif,ちゃぶ台返し
joke,#ffffff,ジョーク
diary,#ffffff,日記
mousou,#000000!back027.gif,妄想
575,darkKhaki,五七五
oyaji,#ffffff,おやじ
tohoho,#ffffff,トホホ
ranking,#ffffff,ランキング
comeon,#ffffff,召還
off,#99ffff,オフ会
ml,#99ffff,ML/MM
.secret,#ffffff,秘密基地
pc,#ffffff,コンピュータ
soft,#ffffff,ソフトウエア
hard,#ffffff,ハードウエア
prog,#ffffff,プログラミング
cgi,#ffffff,ＣＧＩ
html,#ffffff,HTML
syo,#ffffff,初心者
sec,#99ffff,セキュリティ
unix,#99ffff,UNIX
sinsei,#ffffff,新製品
kaden,#ffffff,家電
butu,#ffffff,物欲
keitai,#ffffff,携帯電話
srch,#ffffff,不可能を可能にする人間サーチエンジン
koujyou,#ffffff,アクセス向上
netwatch,#ffffff,ネットウォッチ
maitai,#ffffff,まいたいネット
sapo,lightyellow,サポート削除依頼
.test,#000000,テスト
